"","Annelida","Arthropoda","Brachiopoda","Bryozoa","Calcispongea","Chaetognatha","Chlorophyta","Chordata","Ciliophora","Cnidaria","Cyanobacteria","Echinodermata","Foraminifera","Hemichordata","Hyolitha","Lophotrochozoa","Mollusca","Phoronida","Porifera","Priapulida","Radiolaria","Rhodophyta","Sarcomastigophora"
"Ba3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mo1",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mo2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mo3",0,0,0.333333333333333,0.166666666666667,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0
"Ks1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ks2",0,0,0,0.25,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0
"Gz1",0,0,0.4,0,0,0,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0
"Gz2",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"As1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"As2",0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sk1",0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sk2",0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar1",0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"Ar2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar4",0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0
"Ku1",0,0,0.777777777777778,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ku2",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"Ro1",0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0
"Ro2",0,0,0.285714285714286,0,0,0,0,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0,0,0.285714285714286,0,0,0,0
"Wrd",0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0
"Cp1",0,0,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777777777777778,0,0,0,0
"Cp2",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0
"Wp1",0,0,0.125,0.375,0,0,0,0,0,0.125,0,0,0,0,0,0,0.125,0,0.125,0,0,0,0
"Wp2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Chg",0,0,0.352941176470588,0,0,0,0,0,0,0.117647058823529,0,0,0,0,0,0,0,0,0.411764705882353,0,0,0,0
"Ind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ol1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ol2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0
"An1",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"An2",0,0,0.111111111111111,0,0,0,0,0,0,0.111111111111111,0,0,0.222222222222222,0,0,0,0.111111111111111,0,0.111111111111111,0,0,0,0
"An3",0,0,0,0,0,0,0.125,0,0,0.375,0,0.125,0,0,0,0,0.25,0,0,0,0,0.125,0
"Ld1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ld2",0,0,0.0625,0,0,0,0,0.0625,0,0.1875,0,0,0.0625,0,0,0,0.125,0,0.5,0,0,0,0
"Cr1",0,0,0.0909090909090909,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0.0909090909090909,0,0.454545454545455,0,0,0,0
"Cr2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cr3",0,0,0.25,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0.375,0,0,0,0
"Nr1",0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0
"Nr2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nr3",0,0,0.25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0
"Nr4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
